Symbol,Price~,"Exp Date",DTE,Type,Strike,Moneyness,Bid,Ask,Volume,"Open Int","OI Chg",Vol/OI,IV,Delta,Time
IWM,299.96,2026-09-11,20,Put,285.00,-4.99%,0.98,1.01,1436,56924,"+55,992",0.03,20.64%,-0.13346,2026-08-21
IWM,299.96,2026-09-11,20,Put,295.00,-1.65%,2.64,2.7,2488,56122,"+54,576",0.04,17.59%,-0.324481,2026-08-21
IWM,299.96,2026-09-18,27,Put,283.00,-5.65%,1.42,1.45,51299,52545,"+51,452",0.98,21.96%,-0.150546,2026-08-21
QQQ,713.44,2026-09-18,27,Put,685.00,-3.99%,6.1,6.2,1156,61267,"+44,751",0.02,22.59%,-0.233575,2026-08-21
QQQ,713.44,2026-09-18,27,Put,660.00,-7.49%,2.97,3.03,672,89955,"+34,107",0.01,25.70%,-0.118959,2026-08-21
HYG,79.61,2026-10-16,55,Put,79.00,-0.77%,0.29,0.47,13388,233977,"+25,557",0.06,5.76%,-0.326989,2026-08-21
IBIT,43.68,2026-09-25,34,Call,44.00,-0.73%,2.17,2.22,2766,32785,"+25,066",0.08,42.78%,0.514298,2026-08-21
XLF,57.48,2027-01-15,146,Put,56.00,-2.57%,1.45,1.79,806,30771,"+25,065",0.03,17.54%,-0.357032,2026-08-21
TLT,82.05,2026-09-18,27,Call,84.00,-2.38%,0.28,0.29,14429,55736,"+24,876",0.26,10.26%,0.219896,2026-08-21
LQD,105.92,2026-12-18,118,Call,110.00,-3.85%,0.15,0.26,9527,61756,"+24,000",0.15,4.83%,0.139753,2026-08-21
IWM,299.96,2026-09-18,27,Put,285.00,-4.99%,1.66,1.7,63931,74359,"+23,262",0.86,21.42%,-0.174235,2026-08-21
KWEB,26.66,2026-09-18,27,Call,28.00,-5.03%,0.35,0.45,1614,53435,"+22,650",0.03,30.19%,0.3003,2026-08-21
TLT,82.05,2026-09-18,27,Call,85.00,-3.60%,0.15,0.16,25661,84925,"+21,959",0.3,10.86%,0.129433,2026-08-21
HYG,79.61,2026-09-18,27,Put,79.00,-0.77%,0.17,0.27,34231,356626,"+21,425",0.1,5.72%,-0.284891,2026-08-21
SPY,765.72,2026-11-20,90,Put,750.00,-2.05%,14.59,14.65,2157,23189,"+19,825",0.09,15.67%,-0.352393,2026-08-21
SPY,765.72,2026-08-31,9,Put,742.00,-3.10%,0.65,0.67,7820,18809,"+18,109",0.42,14.75%,-0.081167,2026-08-21
IBIT,43.68,2026-09-18,27,Call,44.00,-0.73%,1.93,1.98,10696,36544,"+17,529",0.29,43.27%,0.507833,2026-08-21
IBIT,43.68,2026-09-18,27,Call,45.00,-3.02%,1.53,1.56,32688,63650,"+17,146",0.51,43.53%,0.432658,2026-08-21
HYG,79.61,2026-12-18,118,Put,77.00,-3.28%,0.35,0.71,15015,139938,"+16,768",0.11,9.11%,-0.220412,2026-08-21
IBIT,43.68,2026-08-28,6,Call,41.00,+6.14%,3,3.1,4647,29571,"+15,957",0.16,58.37%,0.813681,2026-08-21
HYG,79.61,2026-08-28,6,Put,79.50,-0.14%,0.05,0.32,21033,35613,"+15,549",0.59,6.00%,-0.416014,2026-08-21
GDX,102.83,2026-08-28,6,Call,104.00,-1.14%,2.24,2.46,41601,13766,"+13,520",3.02,54.29%,0.452559,2026-08-21
SPY,765.72,2026-09-18,27,Put,726.00,-5.19%,2.4,2.42,15577,16985,"+13,409",0.92,18.08%,-0.126097,2026-08-21
