Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
SPY,"SPDR S&P 500 ETF",762.6,-6.46,-0.84%,14.82%,27%,10498314,58.1%,41.9%,1.3877691106793
QQQ,"Invesco QQQ Trust",710.93,-5.15,-0.72%,36.47%,43%,7566868,56.8%,43.2%,1.3173200569739
IWM,"Russell 2000 Ishares ETF",297.67,-4.05,-1.34%,8.26%,8%,1857743,70.8%,29.2%,2.4265206597241
IBIT,"Ishares Bitcoin Trust ETF",41.2,2.42,+6.24%,11.10%,35%,1777045,26.3%,73.7%,0.35659021249146
TLT,"20+ Year Treas Bond Ishares ETF",82.34,-0.68,-0.82%,31.98%,55%,804923,49.4%,50.6%,0.97460246591338
ETHA,"Ishares Ethereum Trust ETF",17.55,1.67,+10.52%,18.12%,27%,669001,19.0%,81.0%,0.23480673180924
SLV,"Silver Trust Ishares",61.66,1.65,+2.75%,26.11%,48%,644044,21.9%,78.1%,0.27978729957496
GLD,"Gold SPDR",415.26,1.42,+0.34%,40.71%,72%,442705,26.4%,73.6%,0.35921242097959
HYG,"High Yield Corp Bond Ishares Iboxx $ ETF",79.56,-0.15,-0.19%,5.99%,37%,408774,88.2%,11.8%,7.5069091817198
GDX,"Vaneck Gold Miners ETF",99.85,2.52,+2.59%,60.96%,72%,287472,41.3%,58.7%,0.70502304229462
TQQQ,"Ultrapro QQQ 3X ETF",70.48,-1.58,-2.19%,35.30%,41%,243243,49.5%,50.5%,0.97941995019774
DRAM,"Roundhill Memory ETF",57.58,2.44,+4.43%,9.17%,4%,233390,27.2%,72.8%,0.37368232088098
SOXL,"Direxion Daily Semiconductor Bull 3X ETF",122.21,1.47,+1.22%,39.75%,64%,218980,61.4%,38.6%,1.5910193456783
XLF,"S&P 500 Financials Sector SPDR",56.95,-0.53,-0.92%,10.18%,10%,217720,74.8%,25.2%,2.9737903593787
USO,"US Oil Fund",134.54,3.63,+2.77%,18.84%,51%,173400,36.4%,63.6%,0.57338850174216
KWEB,"KS CSI China Internet ETF",26.69,-0.53,-1.95%,14.40%,4%,172339,59.0%,41.0%,1.4409585994929
SMH,"Vaneck Semiconductor ETF",562.65,1.73,+0.31%,34.20%,43%,161060,49.1%,50.9%,0.96613645519245
EEM,"Ishares MSCI Emerging Index Fund",66.62,0.51,+0.77%,37.57%,53%,134684,63.9%,36.1%,1.7703066828476
XLE,"S&P 500 Energy Sector SPDR",63.75,0.17,+0.27%,51.93%,57%,130284,41.5%,58.5%,0.71025755467458
LQD,"Invst Grade Corp Bond Ishares Iboxx $ ETF",106.06,-0.51,-0.48%,6.91%,57%,122601,36.8%,63.2%,0.58219337187694
BKLN,"Invesco Senior Loan ETF",20.59,0.02,+0.10%,39.58%,78%,122517,34.6%,65.4%,0.52905423957267
SILJ,"Amplify Junior Silver Miners ETF",31.63,0.21,+0.67%,34.02%,30%,107289,53.1%,46.9%,1.130906274206
EWZ,"Ishares MSCI Brazil ETF",34.14,-0.12,-0.35%,10.80%,31%,101809,60.6%,39.4%,1.5356529102638
SQQQ,"Ultrapro Short QQQ -3X ETF",39.37,0.84,+2.18%,37.80%,46%,81578,20.8%,79.2%,0.26244602980548
TSLL,"Direxion Daily Tsla Bull 2X ETF",8.88,-0.31,-3.37%,18.20%,15%,75564,23.9%,76.1%,0.31337991448535
KRE,"S&P Regional Banking ETF SPDR",74.71,-0.29,-0.39%,2.00%,2%,71063,74.5%,25.5%,2.9194197782803
VXX,"Ipath.B S&P 500 VIX Short-Term Futures ETN",19.19,0.14,+0.73%,12.38%,10%,64594,9.4%,90.6%,0.10407657465174
DIA,"Dow Industrials SPDR",527.51,-6.76,-1.27%,14.63%,24%,64295,53.0%,47.0%,1.1268607343698
FXI,"China Largecap Ishares ETF",35.67,-0.01,-0.03%,3.82%,7%,58311,69.0%,31.0%,2.2224924012158
MSTU,"T-Rex 2X Long Mstr Daily Target ETF",2.43,0.33,+15.44%,23.63%,69%,54412,25.6%,74.4%,0.34370524028251
