Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
NVDA,"Nvidia Corp",224.41,6.97,+3.21%,5.61%,4%,5790735,37.8%,62.2%,0.6069653522304
TSLA,"Tesla Inc",357.01,0.92,+0.26%,12.30%,8%,2895367,41.1%,58.9%,0.69865362829252
AAPL,"Apple Inc",324.96,-0.17,-0.05%,51.00%,48%,1761278,34.2%,65.8%,0.51895199368712
META,"META Platforms",592.85,14.31,+2.47%,37.58%,53%,1093676,30.5%,69.5%,0.43892619568878
MU,"Micron Technology",956.08,22.64,+2.43%,18.36%,10%,959983,34.8%,65.2%,0.53381319102703
AMZN,"Amazon.com Inc",254.98,0.06,+0.02%,19.41%,20%,732287,30.3%,69.7%,0.4340572614758
PLTR,"Palantir Technologies Cl A",169.46,-10.46,-5.81%,17.84%,12%,675511,41.9%,58.1%,0.72219672749708
DELL,"Dell Technologies",492.2,67.2,+15.81%,47.34%,60%,633906,38.6%,61.4%,0.62872426799313
INTC,"Intel Corp",90.05,1.08,+1.21%,22.50%,20%,557980,30.1%,69.9%,0.43115830511952
GOOGL,"Alphabet Cl A",337.12,2.1,+0.63%,12.46%,8%,536823,21.0%,79.0%,0.26515505026938
AVGO,"Broadcom Ltd",367.24,-2.44,-0.66%,48.22%,56%,500499,39.8%,60.2%,0.66138540899042
SPCX,"SpaceX Corp",140.71,-1.52,-1.07%,0.00%,0%,477439,40.7%,59.3%,0.68630685169553
PCG,"Pacific Gas & Electric Company",13.33,-0.73,-5.19%,92.36%,98%,429342,10.2%,89.8%,0.11328577762911
MSFT,"Microsoft Corp",496.82,-4.2,-0.84%,21.86%,22%,370728,40.9%,59.1%,0.69161693040574
AMD,"Adv Micro Devices",457.06,-2.55,-0.55%,17.30%,13%,341825,42.4%,57.6%,0.73636862370595
SOFI,"Sofi Technologies Inc",17.84,0.79,+4.63%,6.71%,5%,306255,31.0%,69.0%,0.44954254367489
NFLX,"Netflix Inc",82.73,1.92,+2.38%,29.87%,39%,249486,25.3%,74.7%,0.33790588550744
MSTR,"Strategy Inc",123.19,-1.69,-1.35%,25.79%,29%,248051,28.3%,71.7%,0.39478300963777
IREN,"Iren Limited",39.6,2.78,+7.55%,0.31%,1%,243311,32.1%,67.9%,0.47311222512835
