Symbol,Price~,"Exp Date",DTE,Type,Strike,Moneyness,Bid,Ask,Volume,"Open Int","OI Chg",Vol/OI,IV,Delta,Time
HL,17.76,2027-01-15,157,Put,10.00,-43.69%,0.29,0.31,55776,84874,"-49,838",0.66,71.26%,-0.067574,2026-08-11
AG,18.96,2027-01-15,157,Put,10.00,-47.26%,0.2,0.24,22146,40545,"-45,569",0.55,70.46%,-0.049916,2026-08-11
SMCI,31.6,2026-08-21,10,Call,34.00,-7.59%,1.76,1.88,3803,30259,"-34,675",0.13,131.89%,0.412281,2026-08-11
POET,8.59,2026-08-21,10,Call,9.00,-4.77%,0.48,0.54,2655,8590,"-10,848",0.31,119.45%,0.447505,2026-08-11
MSTR,96.09,2026-08-14,3,Call,105.00,-9.27%,0.39,0.44,7988,20708,"-8,180",0.39,81.24%,0.122389,2026-08-11
SPCX,133.29,2026-09-18,38,Put,110.00,-17.47%,2.92,2.95,1594,15891,"-4,533",0.1,70.27%,-0.16464,2026-08-11
S,22.46,2026-09-18,38,Call,22.00,+2.05%,1.95,2.05,13507,31156,"-4,191",0.43,60.11%,0.588467,2026-08-11
NVDA,217.5,2026-09-18,38,Call,240.00,-10.34%,3.3,3.4,3101,51127,"-3,505",0.06,37.28%,0.232527,2026-08-11
NVDA,217.5,2026-08-19,8,Call,225.00,-3.45%,1.53,1.59,5413,7112,"-3,156",0.76,32.64%,0.253617,2026-08-11
CVX,196.66,2026-08-14,3,Call,200.00,-1.70%,0.7,0.77,3592,11897,"-3,062",0.3,27.48%,0.253454,2026-08-11
PLTR,174.94,2026-08-21,10,Call,200.00,-14.32%,0.4,0.44,3742,11643,"-3,056",0.32,51.83%,0.06603,2026-08-11
CLX,108.25,2026-08-21,10,Call,105.00,+3.00%,3.2,3.5,1484,9237,"-2,933",0.16,14.30%,0.903509,2026-08-11
HPE,54.38,2026-08-21,10,Call,55.00,-1.14%,2,2.14,1236,8384,"-2,822",0.15,65.12%,0.48203,2026-08-11
NVDA,217.5,2026-08-28,17,Call,230.00,-5.75%,3.35,3.5,5566,12946,"-2,783",0.43,42.07%,0.289784,2026-08-11
AA,54.08,2026-08-21,10,Call,50.00,+7.54%,4.5,4.75,4158,10644,"-2,705",0.39,55.21%,0.81916,2026-08-11
SPCX,133.29,2026-08-14,3,Call,140.00,-5.03%,1.73,1.78,33636,16259,"-2,616",2.07,86.85%,0.280723,2026-08-11
ERO,36.3,2026-08-21,10,Call,35.00,+3.58%,1.95,2.25,1200,10855,"-2,556",0.11,56.43%,0.672864,2026-08-11
NVDA,217.5,2026-09-18,38,Call,300.00,-37.93%,0.18,0.21,1451,27559,"-2,461",0.05,45.32%,0.017749,2026-08-11
NOK,9.44,2026-08-21,10,Call,10.00,-5.93%,0.18,0.2,2242,28535,"-2,424",0.08,63.74%,0.312776,2026-08-11
NEM,117.21,2026-08-21,10,Call,115.00,+1.89%,4.1,4.9,1118,9647,"-2,419",0.12,42.07%,0.62499,2026-08-11
ORCL,145.48,2026-08-21,10,Call,150.00,-3.11%,3.65,3.85,9199,23166,"-2,381",0.4,58.40%,0.396589,2026-08-11
CLMT,46.04,2026-08-21,10,Call,45.00,+2.26%,2.1,3,1355,5814,"-2,361",0.23,66.69%,0.601119,2026-08-11
SPCX,133.29,2026-09-18,38,Put,105.00,-21.22%,2,2.08,614,10057,"-2,177",0.06,71.32%,-0.121626,2026-08-11
NVDA,217.5,2026-08-21,10,Call,235.00,-8.05%,0.53,0.56,8413,31674,"-2,176",0.27,34.59%,0.095466,2026-08-11
SE,131.51,2026-08-21,10,Call,87.50,+33.47%,42.4,44.8,1509,5026,"-2,171",0.3,78.15%,0.999361,2026-08-11
CORZ,19.76,2026-09-18,38,Put,20.00,+1.21%,1.91,2.27,10107,16604,"-2,159",0.61,78.58%,-0.463901,2026-08-11
NBIS,193.23,2026-08-21,10,Call,260.00,-34.55%,1.91,2.4,1997,3192,"-1,749",0.63,134.96%,0.112649,2026-08-11
KLAR,19.03,2026-09-18,38,Call,20.00,-5.10%,1.4,1.65,5796,12750,"-1,744",0.45,77.55%,0.47681,2026-08-11
CRWV,90.32,2026-09-18,38,Call,140.00,-55.00%,1.13,1.36,1235,13785,"-1,702",0.09,95.77%,0.105383,2026-08-11
ET,20.78,2027-01-15,157,Call,20.00,+3.75%,1.55,1.63,1421,127153,"-1,682",0.01,24.18%,0.601642,2026-08-11
NOK,9.44,2026-12-18,129,Call,15.00,-58.90%,0.36,0.4,1261,18690,"-1,626",0.07,72.75%,0.201149,2026-08-11
EXE,98.24,2027-01-15,157,Call,100.00,-1.79%,7.3,8.3,2542,5207,"-1,553",0.49,32.63%,0.516723,2026-08-11
COIN,148.58,2026-08-21,10,Call,160.00,-7.69%,2.38,2.51,1393,11501,"-1,501",0.12,64.91%,0.265547,2026-08-11
GRPN,21.87,2027-01-15,157,Call,30.00,-37.17%,2.35,3,2612,6068,"-1,491",0.43,86.56%,0.403663,2026-08-11
HPE,54.38,2026-09-18,38,Call,60.00,-10.33%,3.4,3.45,1948,11861,"-1,479",0.16,78.47%,0.400512,2026-08-11
NVDA,217.5,2026-09-18,38,Call,260.00,-19.54%,0.98,1.04,1813,28175,"-1,475",0.06,38.08%,0.08627,2026-08-11
ZETA,29.15,2026-08-21,10,Call,30.00,-2.92%,0.86,0.87,1738,4405,"-1,474",0.39,63.15%,0.41556,2026-08-11
FAST,52.38,2026-08-21,10,Call,50.00,+4.54%,2.35,3.1,2189,7308,"-1,462",0.3,33.85%,0.806623,2026-08-11
FRMI,7.12,2026-08-21,10,Call,6.00,+15.73%,1.2,1.45,13437,14666,"-1,448",0.92,139.63%,0.805243,2026-08-11
HPE,54.38,2026-09-18,38,Call,55.00,-1.14%,5.15,5.3,1446,17125,"-1,437",0.08,77.89%,0.535915,2026-08-11
KKR,110.97,2026-08-21,10,Put,100.00,-9.89%,0.1,0.5,2672,4034,"-1,430",0.66,45.66%,-0.077072,2026-08-11
SPCX,133.29,2026-09-18,38,Put,95.00,-28.73%,0.93,0.98,856,11522,"-1,378",0.07,74.88%,-0.062131,2026-08-11
AMZN,272.27,2026-10-16,66,Call,280.00,-2.84%,11.35,11.6,778,11098,"-1,340",0.07,30.47%,0.460345,2026-08-11
NVDA,217.5,2026-08-21,10,Put,200.00,-8.05%,0.58,0.61,6081,39120,"-1,313",0.16,38.96%,-0.089246,2026-08-11
NBIS,193.23,2026-08-21,10,Call,220.00,-13.85%,7.3,7.55,770,7036,"-1,291",0.11,129.55%,0.310897,2026-08-11
VG,13.22,2026-08-21,10,Call,14.00,-5.90%,0.3,0.4,896,58264,"-1,285",0.02,74.06%,0.34471,2026-08-11
VST,144.92,2026-08-21,10,Call,165.00,-13.86%,0.3,0.44,637,16554,"-1,256",0.04,51.35%,0.070129,2026-08-11
SOFI,17.98,2026-08-21,10,Call,18.00,-0.11%,0.54,0.57,2313,37270,"-1,224",0.06,46.85%,0.514859,2026-08-11
SHAZ,56.58,2026-08-21,10,Call,65.00,-14.88%,1,1.9,1069,9930,"-1,213",0.11,110.74%,0.25465,2026-08-11
HIMS,30.51,2026-08-14,3,Call,31.50,-3.24%,0.65,0.72,3435,3429,"-1,168",1,98.77%,0.378818,2026-08-11
SPCX,133.29,2026-08-14,3,Call,125.00,+6.22%,9.05,9.8,1425,4913,"-1,153",0.29,84.36%,0.811073,2026-08-11
T,24.5,2027-01-15,157,Put,20.00,-18.37%,0.33,0.41,752,12431,"-1,118",0.06,30.78%,-0.134582,2026-08-11
NKE,41.32,2026-09-18,38,Call,45.00,-8.91%,0.55,0.6,8644,89591,"-1,117",0.1,33.70%,0.231325,2026-08-11
CIA,3.72,2026-08-21,10,Put,5.00,+34.41%,1.25,1.4,1030,14116,"-1,100",0.07,140.54%,-0.876379,2026-08-11
PCT,7.65,2027-01-15,157,Call,10.00,-30.72%,1,1.3,9049,51520,"-1,094",0.18,91.95%,0.454116,2026-08-11
XOM,159.8,2026-08-21,10,Call,155.00,+3.00%,5.15,6,617,3916,"-1,085",0.16,23.32%,0.792546,2026-08-11
WEN,7.55,2026-08-14,3,Put,7.50,-0.66%,0.1,0.2,1052,51971,"-1,078",0.02,63.55%,-0.444414,2026-08-11
HTZ,2.45,2026-08-21,10,Call,2.00,+18.37%,0.46,0.52,11826,23329,"-1,072",0.51,123.82%,0.863818,2026-08-11
SPCX,133.29,2026-09-18,38,Call,150.00,-12.54%,6.2,6.4,5654,23759,"-1,070",0.24,70.46%,0.348663,2026-08-11
ACHR,6.79,2027-01-15,157,Call,6.00,+11.63%,1.83,2,557,5874,"-1,060",0.09,87.26%,0.702376,2026-08-11
MSTR,96.09,2026-08-14,3,Call,104.00,-8.23%,0.48,0.54,1326,15501,"-1,030",0.09,79.97%,0.146664,2026-08-11
DELL,440.97,2026-08-21,10,Call,500.00,-13.39%,4.6,5,1050,5720,"-1,026",0.18,75.00%,0.172744,2026-08-11
SPCX,133.29,2026-08-14,3,Call,130.00,+2.47%,5.75,5.95,7618,12296,"-1,016",0.62,83.32%,0.64529,2026-08-11
SPCX,133.29,2026-08-21,10,Call,135.00,-1.28%,5.7,5.85,7526,20010,"-1,014",0.38,73.84%,0.486008,2026-08-11
MSFT,503.81,2027-01-15,157,Call,500.00,+0.76%,45,46,999,23383,"-1,007",0.04,30.85%,0.57951,2026-08-11
AMZN,272.27,2026-08-12,1,Put,265.00,-2.67%,0.16,0.19,7230,1375,"-1,005",5.26,36.28%,-0.074984,2026-08-11
"Downloaded from Barchart.com as of 08-11-2026 08:09pm CDT"
