Symbol,Price~,"Exp Date",DTE,Type,Strike,Moneyness,Bid,Ask,Volume,"Open Int","OI %Chg",Vol/OI,IV,Delta,Time
CGON,72.42,2027-01-15,163,Call,95.00,-31.18%,5.6,8.3,46,4002,"+400,100.00%",0.01,69.70%,0.377156,2026-08-05
PLTR,158.43,2026-08-07,2,Put,149.00,-5.95%,0.35,0.37,4837,3523,"+352,200.00%",1.37,65.41%,-0.097593,2026-08-05
EYPT,12.25,2026-09-18,44,Put,5.00,-59.18%,0.5,1.8,8,4132,"+206,500.00%",0,351.64%,-0.088897,2026-08-05
LKQ,24.11,2026-11-20,107,Call,32.50,-34.80%,0.3,0.75,1,4002,"+200,000.00%",0,50.84%,0.167196,2026-08-05
UMAC,25.73,2026-08-14,9,Put,24.00,-6.72%,1.35,2.2,11,1702,"+170,100.00%",0.01,164.62%,-0.344036,2026-08-05
U,35.47,2027-02-19,198,Put,21.00,-40.80%,0.69,1.71,1000,5000,"+166,566.67%",0.2,73.92%,-0.102053,2026-08-05
NVO,44.53,2026-08-14,9,Call,45.50,-2.18%,0.5,0.64,62,2765,"+138,150.00%",0.02,35.29%,0.352881,2026-08-05
NVCT,19.26,2026-09-18,44,Call,30.00,-55.76%,0,0.35,106,2384,"+119,100.00%",0.04,81.40%,0.079141,2026-08-05
PDD,90.94,2026-08-21,16,Put,91.00,+0.07%,2.33,2.52,1055,1055,"+105,400.00%",1,32.37%,-0.483243,2026-08-05
TOST,34.8,2026-08-14,9,Call,38.50,-10.63%,0.06,0.24,37,2039,"+101,850.00%",0.02,51.19%,0.113951,2026-08-05
ITT,204.08,2026-09-18,44,Put,185.00,-9.35%,4.8,5.6,4015,4004,"+100,000.00%",1,47.25%,-0.242062,2026-08-05
PLTR,158.43,2026-08-07,2,Put,148.00,-6.58%,0.27,0.29,1833,2313,"+77,000.00%",0.79,66.25%,-0.078249,2026-08-05
AEHR,98.78,2026-08-14,9,Put,100.00,+1.24%,8.4,9.7,1031,2309,"+76,866.67%",0.45,136.31%,-0.478878,2026-08-05
MBGL,21.26,2026-11-20,107,Call,22.50,-5.83%,1.4,2.1,51,3005,"+75,025.00%",0.02,47.14%,0.479949,2026-08-05
PLTR,158.43,2026-09-04,30,Put,155.00,-2.16%,6.9,7.2,325,2240,"+74,566.67%",0.15,49.43%,-0.404168,2026-08-05
SN,182.11,2026-08-21,16,Call,195.00,-7.08%,1.55,3.1,7,2097,"+69,800.00%",0,43.60%,0.246288,2026-08-05
NRG,120.73,2026-08-07,2,Call,125.00,-3.54%,0.15,1.9,7631,7545,"+62,775.00%",1.01,72.28%,0.267321,2026-08-05
PLTR,158.43,2026-08-07,2,Put,170.00,+7.30%,11.55,12.1,400,1219,"+60,850.00%",0.33,66.58%,-0.920433,2026-08-05
PLTR,158.43,2026-09-11,37,Put,145.00,-8.48%,3.85,4.3,66,1826,"+60,766.67%",0.04,49.20%,-0.253176,2026-08-05
PLTR,158.43,2026-08-14,9,Put,143.00,-9.74%,0.7,0.82,188,1175,"+58,650.00%",0.16,55.55%,-0.109761,2026-08-05
PLTR,158.43,2026-08-14,9,Put,148.00,-6.58%,1.39,1.48,436,1129,"+56,350.00%",0.39,52.69%,-0.191001,2026-08-05
PLTR,158.43,2026-08-07,2,Put,147.00,-7.21%,0.21,0.22,1216,1092,"+54,500.00%",1.11,67.00%,-0.061967,2026-08-05
GNRC,217.41,2026-08-28,23,Put,180.00,-17.21%,0.5,2.65,100,1002,"+50,000.00%",0.1,60.21%,-0.095675,2026-08-05
SKHY,151.03,2026-08-14,9,Put,124.00,-17.90%,1.6,2.1,17,6038,"+46,346.15%",0,118.11%,-0.122933,2026-08-05
GLW,156.7,2026-09-11,37,Call,140.00,+10.66%,23.45,26.6,192,1138,"+37,833.33%",0.17,79.74%,0.719489,2026-08-05
SHAK,74.33,2026-08-21,16,Call,69.00,+7.17%,5.4,8.1,5,1116,"+37,100.00%",0,56.09%,0.759913,2026-08-05
VEEV,213.51,2027-06-17,316,Call,270.00,-26.46%,22.1,24.8,1,1004,"+33,366.67%",0,49.48%,0.418902,2026-08-05
AMD,482.05,2026-08-10,5,Put,515.00,+6.84%,36.3,39.8,83,2258,"+28,125.00%",0.04,72.48%,-0.768643,2026-08-05
CPNG,16,2026-08-07,2,Put,17.50,+9.38%,0.83,1.66,3,5018,"+27,777.78%",0,67.47%,-0.962569,2026-08-05
SKHY,151.03,2026-11-20,107,Call,155.00,-2.63%,31.8,33.6,51,2182,"+27,175.00%",0.02,104.23%,0.601096,2026-08-05
BW,9.52,2026-09-18,44,Call,15.00,-57.56%,0.2,0.55,27,4029,"+25,081.25%",0.01,122.82%,0.199719,2026-08-05
WMB,71.81,2026-08-28,23,Call,77.00,-7.23%,0.1,0.85,633,1205,"+24,000.00%",0.53,28.63%,0.176213,2026-08-05
WSC,26.56,2026-09-18,44,Call,27.50,-3.54%,1.9,2.25,708,7555,"+23,509.38%",0.09,66.51%,0.490891,2026-08-05
CG,49.84,2026-09-18,44,Call,52.50,-5.34%,1.55,1.85,960,140494,"+21,614.68%",0.01,39.81%,0.381225,2026-08-05
BSX,47.74,2026-08-14,9,Put,46.00,-3.64%,0.45,0.65,10809,4143,"+20,615.00%",2.61,42.31%,-0.272985,2026-08-05
SKHY,151.03,2026-11-20,107,Call,250.00,-65.53%,10.5,12.1,2,4001,"+19,905.00%",0,104.49%,0.278231,2026-08-05
ALAB,318.43,2026-08-07,2,Call,407.50,-27.97%,0,3.8,17,1357,"+19,285.71%",0.01,226.75%,0.083124,2026-08-05
