Symbol,Price~,"Exp Date",DTE,Type,Strike,Moneyness,Bid,Ask,Volume,"Open Int","OI Chg",Vol/OI,IV,Delta,Time
BABA,118.47,2026-11-20,88,Call,160.00,-35.06%,1.96,2.08,10978,57572,"+55,960",0.19,51.76%,0.145177,2026-08-24
BABA,118.47,2026-10-16,53,Call,160.00,-35.06%,0.77,0.85,5243,55042,"+46,937",0.1,52.64%,0.081008,2026-08-24
PCG,18.11,2026-10-16,53,Call,20.00,-10.44%,0.55,0.66,11536,58949,"+33,685",0.2,45.73%,0.321951,2026-08-24
AI,10.11,2026-08-28,4,Call,10.50,-3.86%,0.11,0.13,2766,27922,"+27,321",0.1,62.82%,0.295738,2026-08-24
MRK,150.66,2026-09-18,25,Call,165.00,-9.52%,0.6,0.83,12476,28213,"+26,234",0.44,29.30%,0.12803,2026-08-24
ASST,19.73,2026-09-11,18,Call,28.00,-41.92%,0.19,0.24,1158,21344,"+21,344",0.05,112.27%,0.101622,2026-08-24
PFE,27.97,2026-09-18,25,Put,27.00,-3.47%,0.21,0.24,680,74259,"+21,231",0.01,20.00%,-0.250393,2026-08-24
BABA,118.47,2026-09-18,25,Call,135.00,-13.95%,1.03,1.25,2220,32718,"+20,776",0.07,46.88%,0.15778,2026-08-24
NVDA,208.48,2026-08-28,4,Call,227.50,-9.12%,1.2,1.24,13025,29904,"+20,586",0.44,76.31%,0.147126,2026-08-24
ASST,19.73,2026-09-11,18,Call,27.00,-36.85%,0.21,0.31,609,19827,"+19,827",0.03,109.10%,0.121742,2026-08-24
MARA,11.18,2026-08-28,4,Call,11.00,+1.61%,0.56,0.58,10452,51096,"+18,131",0.2,102.01%,0.582831,2026-08-24
MARA,11.18,2026-08-28,4,Call,11.50,-2.86%,0.34,0.36,8705,35145,"+17,867",0.25,103.91%,0.420176,2026-08-24
SIRI,28.45,2026-08-28,4,Call,29.50,-3.69%,0,0.21,636,17786,"+17,579",0.04,36.95%,0.179233,2026-08-24
SIRI,28.45,2026-08-28,4,Call,29.00,-1.93%,0.12,0.3,753,17810,"+17,577",0.04,35.88%,0.311505,2026-08-24
