Symbol,Name,Latest,Change,%Change,"IV Rank","Options Vol","1M Vol %Chg","Put Vol","Call Vol","Total OI"
VCLT,"Long-Term Corp Bond Vanguard",71.79,-0.43,-0.60%,32.46%,10275,"+1,883.59%",10041,234,3713
IHI,"US Medical Devices Ishares ETF",55.76,-0.35,-0.62%,60.75%,210212,"+1,575.53%",210146,66,174738
NBIZ,"Tradr 2X Short Nbis Daily ETF",4.43,-0.95,-17.57%,23.11%,5272,+554.91%,992,4280,8203
ICLN,"Global Clean Energy Ishares ETF",18.21,-0.15,-0.82%,19.32%,15631,+367.15%,7900,7731,143162
COHX,"Tradr 2X Long Cohr Daily ETF",32.03,-0.12,-0.37%,16.48%,3706,+310.41%,672,3034,13667
EMB,"JPM USD Emerging Markets Bond ETF",95.05,-0.31,-0.33%,29.02%,6005,+204.05%,6005,0,41778
SPXL,"Direxion Daily S&P 500 Bull 3X ETF",299.31,-2.04,-0.68%,13.06%,9061,+139.01%,2387,6674,56315
XLK,"S&P 500 Technology Sector SPDR",190.01,-0.76,-0.40%,36.59%,66562,+133.76%,52271,14291,818365
SPYM,"SPDR Portfolio S&P 500 ETF",91.39,-0.17,-0.19%,7.35%,3829,+124.97%,2854,975,34958
SNDG,"Leverage Shares 2X Long Sndk Daily ETF",10.08,1.33,+15.20%,0.00%,3658,+108.43%,1577,2081,17420
SNDU,"T-Rex 2X Long Sndk Daily Target ETF",25.17,3.22,+14.67%,0.00%,5659,+106.38%,862,4797,28055
XLU,"S&P 500 Utilities Sector SPDR",44.31,0.27,+0.61%,6.34%,66530,+98.52%,12623,53907,1833842
NEBX,"Tradr 2X Long Nbis Daily ETF",40.7,6.01,+17.32%,29.58%,6442,+91.38%,2082,4360,39711
SNXX,"Tradr 2X Long Sndk Daily ETF",16.19,2.1,+14.90%,0.00%,91863,+85.01%,23781,68082,384860
FAS,"Financial Bull 3X ETF",184.55,-0.76,-0.41%,3.88%,7805,+78.85%,7047,758,58882
LQD,"Invst Grade Corp Bond Ishares Iboxx $ ETF",106.12,-0.43,-0.40%,6.57%,151451,+70.70%,116776,34675,2345764
UVXY,"Ultra VIX Short-Term 2X Futures ETF",20.1,-0.42,-2.05%,5.07%,66178,+65.09%,11621,54557,288903
SILJ,"Amplify Junior Silver Miners ETF",29.86,0.42,+1.43%,31.75%,69548,+63.07%,41021,28527,739704
AAOX,"Tradr 2X Long Aaoi Daily ETF",24.1,5.54,+29.85%,4.58%,5180,+61.47%,2639,2541,44438
UPRO,"Ultrapro S&P 500 3X ETF",156.63,-1.05,-0.67%,13.19%,8871,+61.23%,5459,3412,72041
TSLL,"Direxion Daily Tsla Bull 2X ETF",8.76,0.12,+1.39%,7.36%,176296,+60.86%,38771,137525,1050969
AGQ,"Ultra Silver 2X ETF",79.3,0.88,+1.12%,21.61%,12552,+59.33%,3678,8874,111770
SSPC,"Leverage Shares 2X Short Spcx Daily ETF",11,0.21,+1.95%,0.00%,4835,+58.84%,470,4365,30087
NBIG,"Leverage Shares 2X Long Nbis Daily ETF",27.34,4.12,+17.74%,25.35%,6936,+55.17%,1737,5199,53224
XLV,"S&P 500 Healthcare Sector SPDR",167.37,-1.01,-0.60%,16.44%,28070,+55.00%,21719,6351,613677
MSTX,"Defiance Daily Target 1.75X Long Mstr ETF",7.82,-0.75,-8.75%,28.90%,6193,+53.14%,1822,4371,164448
EFA,"Ishares MSCI EAFE ETF",108.64,-0.05,-0.05%,16.23%,49088,+50.10%,32758,16330,1261167
EEM,"Ishares MSCI Emerging Index Fund",66.61,-0.07,-0.10%,40.29%,183372,+46.59%,121321,62051,5028994
TMF,"Direxion Daily 20-Yr Treasury Bull 3X Shrs ETF",30.59,-0.65,-2.08%,39.17%,16475,+42.85%,6542,9933,227883
UVIX,"vs TR 2X Long VIX Futures ETF",45.83,-1.08,-2.30%,4.17%,10221,+38.70%,3992,6229,238833
FXI,"China Largecap Ishares ETF",34.89,0.03,+0.09%,8.21%,90248,+37.88%,37672,52576,3744973
VXX,"Ipath.B S&P 500 VIX Short-Term Futures ETN",19.35,-0.27,-1.35%,6.18%,77029,+37.49%,10376,66653,419671
BITO,"Proshares Bitcoin Strategy ETF",8.5,-0.06,-0.70%,6.52%,12475,+37.07%,4076,8399,264014
SVIX,"vs TR Short VIX -1X Futures ETF",26.5,0.34,+1.30%,8.02%,6621,+32.42%,2741,3880,94426
TNA,"Small Cap Bull 3X ETF",77.14,1.1,+1.45%,0.56%,16979,+22.84%,7452,9527,126624
SPCH,"Leverage Shares 2X Long Spcx Daily ETF",9,-0.21,-2.28%,0.00%,17802,+21.84%,5389,12413,83089
SCO,"Ultrashort Bloomberg Crude Oil -2X ETF",26.05,-0.46,-1.74%,24.23%,6632,+21.33%,3121,3511,132110
EWJ,"Ishares MSCI Japan Index Fund",98.21,-0.26,-0.26%,30.99%,7186,+18.80%,5987,1199,118754
TLT,"20+ Year Treas Bond Ishares ETF",82.04,-0.55,-0.67%,29.60%,742767,+15.76%,330178,412589,11664437
TQQQ,"Ultrapro QQQ 3X ETF",76.79,-0.36,-0.47%,30.23%,326363,+15.64%,161012,165351,1552751
XLE,"S&P 500 Energy Sector SPDR",61.91,0.85,+1.39%,41.17%,159172,+15.15%,58097,101075,4591189
XLC,"S&P 500 Communication Sector SPDR",112.95,0.4,+0.36%,39.03%,5048,+12.60%,2300,2748,253262
GLD,"Gold SPDR",401.48,2.52,+0.63%,29.81%,386828,+12.49%,142456,244372,5528467
BOIL,"Ultra Bloomberg Natural Gas 2X ETF",19.35,-0.26,-1.33%,0.03%,10309,+11.46%,2368,7941,103144
VOO,"S&P 500 ETF Vanguard",713.61,-1.34,-0.19%,8.13%,8226,+10.61%,1978,6248,115032
SQQQ,"Ultrapro Short QQQ -3X ETF",36.24,0.2,+0.55%,30.43%,93258,+8.92%,14771,78487,547792
IBIT,"Ishares Bitcoin Trust ETF",35.63,-0.25,-0.70%,0.14%,444633,+7.35%,223052,221581,6723490
SOXL,"Direxion Daily Semiconductor Bull 3X ETF",144.95,-0.41,-0.28%,38.39%,312938,+3.41%,206418,106520,1625561
MUU,"Direxion Daily MU Bull 2X ETF",32.39,1.39,+4.48%,0.00%,24404,+3.39%,6656,17748,241145
NVDL,"GraniteShares 2X Long NVDA Daily ETF",36.71,-0.08,-0.22%,31.96%,31207,+3.11%,9193,22014,395443
NAIL,"Direxion Daily Homebuilders Bull 3X ETF",41.79,-0.94,-2.20%,46.83%,5322,+2.70%,3171,2151,56254
AMDL,"GraniteShares 2X Long AMD Daily ETF",58.84,6.65,+12.74%,24.05%,11252,+2.32%,4735,6517,101605
RAM,"Roundhill T-Rex 2X Long Dram Daily Target ETF",13.2,0.18,+1.42%,0.00%,9984,-0.09%,3242,6742,93438
GDX,"Vaneck Gold Miners ETF",89.97,1.7,+1.93%,45.01%,166644,-4.01%,73278,93366,2551422
COPX,"GX Copper Miners ETF",85.7,0.18,+0.21%,40.51%,8305,-4.20%,5141,3164,280588
EWZ,"Ishares MSCI Brazil ETF",33.93,0.16,+0.47%,7.23%,124722,-4.86%,63508,61214,4685222
SCHD,"Schwab US Dividend Equity ETF",34.52,0.09,+0.26%,8.73%,7859,-6.77%,2505,5354,168094
MAGS,"Roundhill Magnificent Seven ETF",68.26,-0.23,-0.34%,20.88%,13905,-7.09%,1394,12511,203379
DRAM,"Roundhill Memory ETF",57.32,0.39,+0.69%,4.75%,360388,-7.23%,95515,264873,2997272
USO,"US Oil Fund",126.6,1.57,+1.26%,20.45%,171527,-9.00%,50728,120799,1489686
IEF,"7-10 Year Treasury Bond Ishares ETF",93.04,-0.26,-0.28%,16.61%,20622,-9.46%,4071,16551,700121
SOXS,"Direxion Daily Semiconductor Bear 3X ETF",40.28,0.16,+0.40%,33.53%,47193,-10.31%,18704,28489,762554
BITX,"Volatility 2X Bitcoin Strategy ETF",11.59,-0.18,-1.53%,2.90%,8587,-10.55%,3434,5153,192374
JETS,"US Global Jets ETF",31.56,-0.3,-0.94%,12.85%,6131,-10.76%,5272,859,224067
XLF,"S&P 500 Financials Sector SPDR",58.16,-0.1,-0.17%,40.32%,128088,-10.85%,84194,43894,6557625
HYG,"High Yield Corp Bond Ishares Iboxx $ ETF",79.71,-0.08,-0.10%,3.08%,265593,-10.97%,239122,26471,9263441
UNG,"US Natural Gas Fund",9.92,-0.05,-0.50%,3.98%,21081,-12.03%,5321,15760,332800
EWY,"Ishares MSCI South Korea ETF",179.74,1.12,+0.63%,40.78%,110410,-13.07%,48201,62209,1419026
IGV,"Ishares Expanded Tech-Software Sector ETF",104.08,-2.2,-2.07%,35.66%,71984,-14.16%,28885,43099,1740576
SPXS,"Direxion Daily S&P 500 Bear 3X ETF",23.72,0.16,+0.68%,9.26%,16496,-14.46%,1150,15346,237256
SLV,"Silver Trust Ishares",58.48,0.32,+0.55%,21.38%,302096,-15.31%,65003,237093,6678429
SMH,"Vaneck Semiconductor ETF",587.82,-1.3,-0.22%,30.48%,263274,-16.51%,206916,56358,2354212
KWEB,"KS CSI China Internet ETF",27.01,0.16,+0.60%,16.20%,78851,-16.56%,29559,49292,2831081
SNDQ,"Tradr 2X Short Sndk Daily ETF",14.84,-2.59,-14.86%,0.00%,4465,-17.67%,986,3479,41845
QQQ,"Invesco QQQ Trust",731.07,-1.,-0.14%,27.25%,6558755,-17.87%,3177068,3381687,11973613
DIA,"Dow Industrials SPDR",536.8,-1.11,-0.21%,8.86%,46488,-17.99%,27629,18859,632298
MSOS,"Advisorshares Pure US Cannabis ETF",4.63,-0.02,-0.43%,6.56%,10690,-18.95%,1283,9407,518596
MULL,"GraniteShares 2X Long MU Daily ETF",22.62,1.01,+4.67%,38.59%,4605,-20.58%,2140,2465,227633
WEAT,"Teucrium Wheat",24.97,0.65,+2.67%,3.30%,3795,-21.05%,141,3654,198363
ARKG,"Ark Genomic Revolution ETF",43.45,-0.87,-1.96%,19.74%,4885,-21.24%,3322,1563,251250
KORU,"Direxion Daily South Korea Bull 3X ETF",21.6,0.33,+1.55%,56.45%,39438,-22.59%,26945,12493,603648
SPY,"SPDR S&P 500 ETF",776.34,-1.54,-0.20%,9.89%,9790245,-23.04%,5194873,4595372,21867613
KRE,"S&P Regional Banking ETF SPDR",77.93,0.18,+0.23%,13.44%,61216,-27.90%,38675,22541,2135364
IWM,"Russell 2000 Ishares ETF",305.09,1.59,+0.52%,1.08%,1197741,-28.31%,763338,434403,10158708
GDXJ,"Vaneck Junior Gold Miners ETF",118.09,2.2,+1.90%,47.52%,6308,-28.63%,3121,3187,191016
METU,"Direxion Daily META Bull 2X ETF",21.18,-0.38,-1.76%,28.83%,5187,-28.96%,2090,3097,70880
MSFU,"Direxion Daily MSFT Bull 2X ETF",37.45,-0.27,-0.72%,26.01%,4905,-29.27%,1470,3435,58615
URA,"GX Uranium ETF",44.93,-0.32,-0.71%,26.10%,7055,-29.91%,1731,5324,342036
RSP,"Invesco S&P 500 E.W. ETF",222.77,0.04,+0.02%,6.55%,11765,-30.18%,6894,4871,349556
SOXX,"Semiconductor Ishares ETF",550.42,-0.32,-0.06%,38.68%,41985,-39.78%,31099,10886,619869
XLP,"S&P 500 Cons Staples Sector SPDR",86.09,0.09,+0.10%,8.63%,20364,-40.58%,12069,8295,519198
XBI,"S&P Biotech SPDR",157.41,0.55,+0.35%,21.88%,16368,-43.49%,11622,4746,620939
XOP,"S&P Oil & Gas Expl & Prod SPDR",180.49,1.32,+0.74%,41.23%,9299,-45.56%,4695,4604,410704
BNO,"US Brent Oil",50.64,0.9,+1.81%,26.95%,11219,-47.98%,1440,9779,344964
ETHA,"Ishares Ethereum Trust ETF",14.18,-0.05,-0.35%,0.00%,72208,-48.84%,31032,41176,2042939
ARKK,"Ark Innovation ETF",81.1,-1.49,-1.80%,5.50%,37632,-49.06%,16671,20961,609111
ASHR,"Xt Harvest CSI 300 China A-Shares ETF",34.73,-0.05,-0.14%,5.53%,9737,-49.27%,1628,8109,598807
XLY,"S&P 500 Cons Disc Sector SPDR",118.2,-0.25,-0.21%,32.71%,9590,-52.93%,3577,6013,580695
XLI,"S&P 500 Industrial Sector SPDR",186.51,0.72,+0.39%,39.31%,12678,-59.41%,3606,9072,591707
"Downloaded from Barchart.com as of 08-17-2026 12:53am CDT"
