Symbol,Price~,"Exp Date",DTE,Type,Strike,Moneyness,Bid,Latest,Ask,Volume,"Open Int",Vol/OI,"Imp Vol",IV,Delta,Time
HIMS,28.77,2026-08-14,1,Call,29.50,-2.54%,0.22,0.24,0.25,18801,182,103.3,68.76%,85.43%,0.29602,2026-08-13
MU,949.83,2026-08-14,1,Put,970.00,+2.12%,25.75,26.3,27.15,10878,121,89.9,65.71%,70.86%,-0.707577,2026-08-13
RIOT,19.21,2026-08-28,15,Put,19.00,-1.09%,1.13,1.15,1.35,10706,123,87.04,88.34%,87.82%,-0.437437,2026-08-13
TSLA,339.96,2026-08-14,1,Put,337.50,-0.72%,1.7,1.69,1.73,36453,489,74.55,38.08%,39.37%,-0.356851,2026-08-13
FRMI,6.6,2026-08-28,15,Call,9.00,-36.36%,0.1,0.14,0.15,17596,259,67.94,108.76%,131.57%,0.152928,2026-08-13
TSLA,339.96,2026-08-14,1,Put,332.50,-2.19%,0.5,0.51,0.52,66350,983,67.5,38.08%,39.79%,-0.140039,2026-08-13
MRNA,63.65,2026-08-21,8,Call,69.00,-8.41%,0.42,0.73,1.06,6338,109,58.15,68.66%,65.52%,0.219044,2026-08-13
SMCI,39.16,2026-08-14,1,Put,40.00,+2.15%,1.33,1.37,1.42,16898,296,57.09,80.30%,108.34%,-0.63482,2026-08-13
AG,18.78,2026-09-04,22,Call,18.50,+1.49%,1.25,1.28,1.38,6464,130,49.72,63.88%,63.13%,0.574101,2026-08-13
SEDG,32.18,2026-12-18,127,Call,50.00,-55.38%,2.5,2.6,2.7,13713,283,48.46,81.32%,91.99%,0.30283,2026-08-13
CLBT,10.8,2027-01-15,155,Call,12.50,-15.74%,1.2,1.2,1.35,9720,203,47.88,63.76%,64.93%,0.462004,2026-08-13
SOLS,62.57,2026-09-18,36,Put,50.00,-20.09%,0.2,0.25,0.3,18807,397,47.37,48.40%,48.35%,-0.057924,2026-08-13
LAES,2.84,2026-09-18,36,Call,2.00,+29.58%,0.73,0.8,1.02,16299,345,47.24,95.48%,85.47%,0.927061,2026-08-13
QCOM,164.79,2026-09-11,29,Call,165.00,-0.13%,8.1,8.17,8.35,11242,245,45.89,46.41%,44.56%,0.523657,2026-08-13
CIFR,16.62,2026-10-16,64,Call,26.00,-56.44%,0.37,0.72,0.91,9107,211,43.16,99.62%,99.82%,0.198733,2026-08-13
VOXR,5.35,2026-09-18,36,Call,6.00,-12.15%,0.05,0.1,0.1,4605,113,40.75,55.57%,40.58%,0.207027,2026-08-13
ONDS,8.91,2026-09-25,43,Call,11.00,-23.46%,0.44,0.46,0.49,5567,143,38.93,82.92%,90.74%,0.306109,2026-08-13
CSCO,113.47,2026-08-14,1,Call,117.00,-3.11%,0.2,0.3,0.3,5301,137,38.69,31.23%,55.35%,0.148935,2026-08-13
MU,949.83,2026-08-14,1,Put,945.00,-0.51%,10.95,10.95,11.7,4483,129,34.75,65.71%,68.96%,-0.435814,2026-08-13
TSLA,339.96,2026-08-14,1,Put,335.00,-1.46%,0.95,0.98,0.98,76017,2279,33.36,38.08%,39.38%,-0.233415,2026-08-13
TSLA,339.96,2026-08-19,6,Call,340.00,-0.01%,6.15,6.3,6.35,13811,438,31.53,38.08%,35.49%,0.513274,2026-08-13
SNDK,1528.11,2026-08-14,1,Call,"1,560.00",-2.09%,19.5,20.51,21,3032,101,30.02,88.80%,104.77%,0.364122,2026-08-13
MU,949.83,2026-08-14,1,Put,940.00,-1.03%,9.3,9.42,9.6,7444,249,29.9,65.71%,70.18%,-0.380604,2026-08-13
SNDK,1528.11,2026-08-14,1,Put,"1,500.00",-1.84%,19.7,20.41,20.5,6198,211,29.37,88.80%,102.11%,-0.353542,2026-08-13
MU,949.83,2026-08-14,1,Put,907.50,-4.46%,1.98,2.03,2.1,4055,139,29.17,65.71%,73.33%,-0.113259,2026-08-13
NFLX,78.24,2026-08-14,1,Put,77.00,-1.58%,0.18,0.2,0.2,12195,418,29.17,32.79%,38.59%,-0.210277,2026-08-13
SNDK,1528.11,2026-08-14,1,Call,"1,540.00",-0.78%,27.5,27.54,28.4,3376,119,28.37,88.80%,104.58%,0.455238,2026-08-13
CSCO,113.47,2026-08-14,1,Call,113.00,+0.41%,1.32,1.6,1.6,4785,174,27.5,31.23%,51.04%,0.567849,2026-08-13
TSLA,339.96,2026-08-17,4,Put,335.00,-1.46%,2.21,2.26,2.28,5328,197,27.05,38.08%,30.65%,-0.313857,2026-08-13
SMCI,39.16,2026-08-14,1,Put,39.50,+0.87%,0.98,1.02,1.1,4250,159,26.73,80.30%,104.89%,-0.551156,2026-08-13
INTC,104.56,2026-08-14,1,Put,105.00,+0.42%,1.68,1.79,1.82,20846,781,26.69,69.10%,69.68%,-0.53785,2026-08-13
MU,949.83,2026-08-14,1,Call,962.50,-1.33%,8.75,9.06,9.55,4162,157,26.51,65.71%,73.05%,0.372616,2026-08-13
NVDA,225.3,2026-08-17,4,Put,242.50,+7.63%,16.2,17.35,19.25,3670,142,25.85,38.19%,53.56%,-0.900922,2026-08-13
BABA,122.16,2026-08-21,8,Call,124.00,-1.51%,3.3,3.4,3.45,4317,169,25.54,44.99%,58.22%,0.448134,2026-08-13
MU,949.83,2026-08-17,4,Call,"1,005.00",-5.81%,5.35,5.62,5.7,2758,109,25.3,65.71%,57.33%,0.182891,2026-08-13
SNDK,1528.11,2026-08-14,1,Put,"1,450.00",-5.11%,6.6,6.8,6.9,3803,151,25.19,88.80%,101.64%,-0.155152,2026-08-13
AMD,483.01,2026-08-17,4,Put,480.00,-0.62%,7.25,7.25,7.65,3604,145,24.86,55.41%,44.52%,-0.434663,2026-08-13
CSCO,113.47,2026-08-14,1,Call,114.00,-0.47%,0.9,1.02,1.02,4278,177,24.17,31.23%,50.68%,0.436349,2026-08-13
GOOGL,346.36,2026-08-19,6,Call,350.00,-1.05%,2.94,3.15,3.95,4186,177,23.65,28.56%,27.97%,0.398127,2026-08-13
MARA,9.21,2026-08-21,8,Call,9.50,-3.15%,0.31,0.31,0.33,53465,2295,23.3,80.82%,81.01%,0.423895,2026-08-13
CSCO,113.47,2026-08-14,1,Call,119.00,-4.87%,0.05,0.11,0.13,4210,181,23.26,31.23%,58.15%,0.061018,2026-08-13
ORCL,156.22,2026-08-14,1,Put,157.50,+0.82%,2.77,2.69,2.91,2904,127,22.87,69.75%,65.49%,-0.586847,2026-08-13
NBIS,255.04,2026-08-14,1,Put,255.00,-0.02%,6.05,6.28,6.65,4452,196,22.71,98.46%,119.86%,-0.485971,2026-08-13
MARA,9.21,2027-01-15,155,Call,9.00,+2.28%,2.01,2.17,2.22,3069,136,22.57,80.82%,83.30%,0.634584,2026-08-13
CLBT,10.8,2027-01-15,155,Call,15.00,-38.89%,0.6,0.66,0.75,7162,320,22.38,63.76%,63.64%,0.292708,2026-08-13
SMCI,39.16,2026-08-21,8,Put,41.00,+4.70%,2.96,3.01,3.1,3235,145,22.31,80.30%,84.35%,-0.618268,2026-08-13
NBIS,255.04,2026-08-14,1,Put,252.50,-1.00%,4.85,4.85,5.2,3071,138,22.25,98.46%,117.45%,-0.42272,2026-08-13
HPE,59.82,2027-01-15,155,Put,47.00,-21.43%,4.3,4.45,4.65,6258,286,21.88,76.25%,71.49%,-0.219163,2026-08-13
HPQ,31.3,2026-08-21,8,Put,29.50,-5.75%,0.24,0.28,0.32,2411,111,21.72,60.11%,50.75%,-0.204365,2026-08-13
AGI,32.85,2026-09-18,36,Put,33.00,+0.46%,1.75,2,2.05,5405,250,21.62,46.62%,45.45%,-0.477543,2026-08-13
AAP,57.36,2026-08-21,8,Call,62.00,-8.09%,2.05,2.32,2.65,5993,282,21.25,74.50%,121.31%,0.36638,2026-08-13
TSLA,339.96,2026-08-14,1,Put,340.00,+0.01%,2.78,2.8,2.83,40676,1953,20.83,38.08%,39.44%,-0.496589,2026-08-13
IREN,44.76,2026-08-14,1,Put,47.00,+5.00%,2.28,2.37,2.7,3039,146,20.82,97.94%,104.17%,-0.807178,2026-08-13
SMCI,39.16,2026-08-14,1,Call,41.50,-5.98%,0.2,0.22,0.25,12499,608,20.56,80.30%,116.51%,0.178875,2026-08-13
